Index X Y Z
0 -2.061200 8.179800 -1.776771
1 -2.209700 8.218900 -1.626571
2 -2.201100 8.368800 -1.655371
3 -2.045900 8.322900 -1.808471
4 -2.331000 8.254300 -1.458571
5 -2.323700 8.397700 -1.494771
6 -2.300900 8.529600 -1.525971
7 -2.184700 8.488900 -1.646771
8 -2.024500 8.438400 -1.802871
9 -1.871400 8.278500 -1.941171
10 -1.889800 8.140000 -1.910871
11 -1.849200 8.391900 -1.936371
12 -1.666000 8.353700 -2.053271
13 -1.686300 8.240200 -2.058771
14 -1.705100 8.103700 -2.031271
15 -1.499300 8.212400 -2.167471
16 -1.516700 8.074900 -2.143371
17 -1.481900 8.327800 -2.159671
18 -1.288200 8.319000 -2.258671
19 -1.300900 8.198700 -2.272271
20 -1.314600 8.056200 -2.254571
21 -1.081700 8.202700 -2.373171
22 -1.088700 8.050200 -2.360471
23 -1.075900 8.331900 -2.353571
24 -0.855200 8.360300 -2.445171
25 -0.855400 8.219000 -2.469571
26 -0.855200 8.360300 -2.445171
27 -0.856300 8.052700 -2.456771
28 -0.855200 8.360300 -2.445171
29 -0.636300 8.398100 -2.518571
30 -0.635800 8.242400 -2.547071
31 -0.855200 8.360300 -2.445171
32 -0.420500 8.440600 -2.581371
33 -0.421200 8.270700 -2.610571
34 -0.419900 8.070200 -2.586671
35 -0.634500 8.059500 -2.530071
36 -1.352700 11.095300 -1.561671
37 -1.348900 10.916700 -1.645171
38 -1.527000 10.903500 -1.547871
39 -1.528400 11.079200 -1.452271
40 -1.335700 10.762100 -1.704371
41 -1.514600 10.751000 -1.616971
42 -1.690900 10.707800 -1.527771
43 -1.698500 10.867000 -1.450271
44 -1.692700 11.049100 -1.342671
45 -1.873600 10.805900 -1.344971
46 -1.850400 11.009000 -1.228471
47 -1.875500 10.625100 -1.430771
48 -2.074300 10.504800 -1.325271
49 -2.030200 10.747800 -1.228571
50 -1.991300 10.968900 -1.105671
51 -2.663800 10.069900 -0.004871
52 -2.615200 10.086400 -0.212771
53 -2.627900 9.900300 -0.242771
54 -2.677300 9.883400 -0.026371
55 -2.560300 10.103500 -0.428771
56 -2.570800 9.920900 -0.465371
57 -2.578600 9.743300 -0.499671
58 -2.637000 9.725600 -0.277371
59 -2.703100 9.658600 0.026929
60 -2.703100 9.658600 0.026929
61 0.000000 9.542200 -2.488471
62 -0.114000 9.542000 -2.397471
63 -0.121100 9.710300 -2.378971
64 0.000000 9.711300 -2.472771
65 -0.237300 9.539800 -2.291371
66 -0.248600 9.704100 -2.274571
67 -0.265400 9.862800 -2.258571
68 -0.131400 9.874000 -2.360171
69 0.000000 9.875900 -2.454671
70 -0.502700 11.023300 -1.991971
71 -0.525600 10.809100 -2.046471
72 -0.746600 10.846700 -1.950271
73 -0.735400 11.053000 -1.893371
74 -0.554600 10.590700 -2.071071
75 -0.768200 10.672200 -1.968671
76 -0.950000 10.716900 -1.886571
77 -0.950700 10.882800 -1.853571
78 -0.768200 10.672200 -1.968671
79 -0.954400 11.078300 -1.787671
80 -1.154200 10.908000 -1.749471
81 -1.160700 11.093700 -1.675271
82 -1.143300 10.748800 -1.796371
83 0.000000 9.231100 -2.524271
84 -0.110000 9.231100 -2.424971
85 -0.110200 9.381000 -2.415571
86 0.000000 9.381000 -2.509271
87 -0.233100 9.232000 -2.325871
88 -0.232100 9.380700 -2.309771
89 -1.999000 8.506100 -1.747971
90 -1.824400 8.464400 -1.885671
91 -1.958500 8.563400 -1.662871
92 -1.791500 8.524100 -1.794471
93 -1.617300 8.494900 -1.911171
94 -1.643100 8.431900 -2.006171
95 -1.464200 8.411900 -2.112271
96 -1.446700 8.477600 -2.011771
97 -1.269900 8.478200 -2.102471
98 -1.278000 8.409200 -2.208571
99 -1.446700 8.477600 -2.011771
100 -1.075000 8.428700 -2.299871
101 -1.077100 8.502400 -2.189471
102 -0.873800 8.542900 -2.266871
103 -0.860700 8.464000 -2.384471
104 -0.855200 8.360300 -2.445171
105 -0.855200 8.360300 -2.445171
106 -0.855200 8.360300 -2.445171
107 -0.640600 8.508700 -2.449971
108 -0.855200 8.360300 -2.445171
109 -0.665800 8.592200 -2.326071
110 -0.431500 8.651600 -2.383371
111 -0.421200 8.553300 -2.506171
112 -0.208900 8.588400 -2.604571
113 -0.209100 8.483000 -2.678971
114 -0.198800 8.654200 -2.536671
115 0.000000 8.674600 -2.615771
116 0.000000 8.643100 -2.700671
117 0.000000 8.608500 -2.786471
118 -0.565000 9.122700 -1.980571
119 -0.480400 9.115900 -2.078471
120 -0.500900 9.019600 -2.076571
121 -0.588900 9.033300 -1.972471
122 -0.544600 9.238300 -1.987371
123 -0.463400 9.236500 -2.078871
124 -0.240600 9.098900 -2.334371
125 -0.395800 9.109100 -2.176471
126 -0.382300 9.234700 -2.170371
127 -0.251300 8.984600 -2.344371
128 -0.412900 9.005900 -2.180071
129 -1.307800 10.604400 -1.747671
130 -1.484500 10.594000 -1.665171
131 -1.445400 10.434700 -1.702971
132 -1.464900 10.514400 -1.684071
133 -1.290100 10.524800 -1.765371
134 -1.272400 10.445100 -1.782971
135 -1.612700 10.389700 -1.614771
136 -1.635400 10.469200 -1.596471
137 -1.658100 10.548700 -1.578071
138 -1.658100 10.548700 -1.578071
139 -1.828300 10.458300 -1.487771
140 -1.756700 10.298500 -1.530171
141 -1.792500 10.378400 -1.508971
142 -1.923800 10.253700 -1.432071
143 -1.872900 10.176600 -1.456571
144 -1.974600 10.330700 -1.407571
145 -2.076500 10.174000 -1.351271
146 -2.172700 10.291500 -1.295371
147 -1.956700 10.039600 -1.401271
148 -2.016600 10.106800 -1.376271
149 -2.076700 9.956600 -1.340771
150 -2.012700 9.903100 -1.363971
151 -2.266700 10.125000 -1.230071
152 -2.140700 10.010100 -1.317571
153 -2.174100 9.861000 -1.305071
154 -2.287800 9.920200 -1.230071
155 -2.045400 9.783200 -1.343971
156 -2.109700 9.822100 -1.324471
157 -2.126400 9.693100 -1.318571
158 -2.063600 9.668300 -1.333771
159 -2.300000 9.754600 -1.238371
160 -2.189200 9.718000 -1.303371
161 -0.566400 9.911300 -2.020871
162 -0.497000 9.938000 -2.077471
163 -0.475700 9.813400 -2.081271
164 -0.546700 9.793800 -2.019771
165 -0.601300 10.025800 -2.014171
166 -0.536900 10.064100 -2.063871
167 -0.333100 10.160100 -2.212371
168 -0.287400 10.005400 -2.242371
169 -0.427600 9.964700 -2.134071
170 -0.472600 10.102400 -2.113571
171 -0.404700 9.833000 -2.142671
172 -0.472600 10.102400 -2.113571
173 -0.555100 10.266300 -2.071571
174 -0.421000 10.355000 -2.154871
175 -0.658600 10.145900 -1.997271
176 -0.606900 10.206100 -2.034471
177 -0.738800 10.255400 -1.970571
178 -0.703200 10.334800 -1.993871
179 -0.667500 10.414200 -2.017071
180 -0.802100 10.503800 -1.958771
181 -0.768200 10.672200 -1.968671
182 -0.842100 10.338300 -1.934571
183 -0.822100 10.421000 -1.946671
184 -0.966900 10.396600 -1.891471
185 -0.961800 10.476100 -1.893271
186 -0.768200 10.672200 -1.968671
187 -0.956600 10.555600 -1.895071
188 -1.128500 10.590400 -1.824571
189 -1.111700 10.432300 -1.843371
190 -1.120100 10.511300 -1.833971
191 -2.445300 9.099500 -0.995271
192 -2.508800 9.104500 -0.801071
193 -2.516000 9.271200 -0.782471
194 -2.452200 9.268200 -0.978971
195 -2.567500 9.109200 -0.602471
196 -2.575600 9.279400 -0.579871
197 -2.581800 9.443000 -0.555071
198 -2.520400 9.432800 -0.761971
199 -2.575600 9.279400 -0.579871
200 -2.455400 9.429600 -0.960971
201 -0.377000 9.379500 -2.162771
202 -0.533500 9.378100 -1.995371
203 -0.455300 9.378800 -2.079071
204 -0.530600 9.525700 -2.004171
205 -0.455000 9.529700 -2.079771
206 -0.379300 9.533700 -2.155271
207 -1.723100 7.956400 -1.981771
208 -1.903100 7.992400 -1.859071
209 -1.736400 7.801300 -1.906871
210 -1.911200 7.837800 -1.779371
211 -2.070400 7.873800 -1.640271
212 -2.068400 8.029400 -1.723471
213 -1.534600 7.924500 -2.097671
214 -1.327800 7.899300 -2.210771
215 -1.337700 7.734700 -2.138271
216 -1.548200 7.765900 -2.026971
217 -1.093400 7.883200 -2.317371
218 -0.852800 7.873500 -2.410771
219 -0.848500 7.692800 -2.331371
220 -1.096100 7.710800 -2.241871
221 -0.413100 7.865500 -2.530971
222 -0.627500 7.867600 -2.480471
223 -0.405900 7.669200 -2.450571
224 -0.620200 7.678900 -2.400171
225 0.000000 7.659900 -2.518471
226 0.000000 7.482100 -2.411671
227 -0.199300 7.487200 -2.388771
228 -0.200700 7.663600 -2.489871
229 0.000000 7.334300 -2.292371
230 -0.199300 7.338100 -2.266571
231 -0.403500 7.343800 -2.220971
232 -0.403500 7.494400 -2.347971
233 -1.525900 11.305400 -1.324271
234 -1.352400 11.325000 -1.445671
235 -1.685500 11.276800 -1.201871
236 -1.677600 11.527300 -1.044471
237 -1.521400 11.557000 -1.179971
238 -1.350000 11.580200 -1.313371
239 -1.833200 11.242500 -1.079671
240 -1.963400 11.205900 -0.952571
241 -1.941100 11.450900 -0.784471
242 -1.819100 11.491300 -0.914671
243 -0.732600 11.316900 -1.788071
244 -0.495500 11.300700 -1.884971
245 -0.956500 11.328600 -1.680071
246 -0.957900 11.606400 -1.551571
247 -0.734000 11.609600 -1.658671
248 -0.496300 11.609600 -1.751771
249 -1.162800 11.332000 -1.565071
250 -1.162700 11.596600 -1.436871
251 -2.341600 10.862400 -0.578371
252 -2.416000 10.829400 -0.420471
253 -2.377600 11.043300 -0.330571
254 -2.302200 11.079200 -0.463571
255 -2.484800 10.792900 -0.251071
256 -2.445800 11.002900 -0.186271
257 -2.401600 11.224300 -0.116671
258 -2.336100 11.267400 -0.233171
259 -2.261700 11.305000 -0.338971
260 -2.067200 7.568700 -1.380571
261 -1.913000 7.531400 -1.529471
262 -1.910700 7.412700 -1.375271
263 -2.060300 7.452100 -1.228671
264 -1.740200 7.492800 -1.677671
265 -1.738000 7.371800 -1.528271
266 -1.731600 7.279100 -1.372771
267 -1.902900 7.324100 -1.222671
268 -2.047200 7.367100 -1.081071
269 -1.550900 7.453000 -1.808271
270 -1.544400 7.329400 -1.667871
271 -1.338200 7.416800 -1.916571
272 -1.328400 7.291200 -1.779571
273 -1.316300 7.191000 -1.634271
274 -1.534700 7.232600 -1.519671
275 -1.095100 7.389000 -2.010071
276 -1.088600 7.263000 -1.871171
277 -0.846700 7.368400 -2.089171
278 -0.845000 7.242800 -1.947171
279 -0.843100 7.139800 -1.798271
280 -1.080900 7.160700 -1.724671
281 -0.617700 7.353600 -2.157771
282 -0.617700 7.228800 -2.016571
283 -0.403500 7.220200 -2.081071
284 -0.403500 7.118500 -1.927371
285 -0.617700 7.126000 -1.865471
286 -0.199300 7.216100 -2.126871
287 0.000000 7.214300 -2.156871
288 0.000000 7.116200 -2.001171
289 -0.199300 7.116100 -1.970771
290 -2.517300 8.086100 -0.092571
291 -2.531500 7.890700 -0.331671
292 -2.465000 7.819200 -0.316971
293 -2.409700 7.844600 -0.218971
294 -2.540800 7.762900 -0.514271
295 -2.435700 7.705100 -0.404771
296 -2.312800 7.648100 -0.311171
297 -2.542000 8.463900 -0.845571
298 -2.528100 8.570900 -0.843271
299 -2.475500 8.562400 -1.119571
300 -2.482800 8.431900 -1.082571
301 -2.597100 8.491500 -0.661771
302 -2.583200 8.589000 -0.663071
303 -2.504300 8.751700 -0.827871
304 -2.516200 8.658500 -0.835571
305 -2.573800 8.679600 -0.651971
306 -2.564400 8.770200 -0.640971
307 -2.429900 8.711900 -1.049171
308 -2.443300 8.643800 -1.088671
309 -2.533200 10.434500 -0.353171
310 -2.512900 10.606000 -0.306371
311 -2.448400 10.635800 -0.495571
312 -2.473000 10.457200 -0.556471
313 -2.378300 10.663300 -0.673571
314 -2.407000 10.477500 -0.749671
315 -1.718600 7.215800 -1.229371
316 -1.885600 7.267400 -1.088271
317 -1.695000 7.178400 -1.070271
318 -1.859500 7.237500 -0.945071
319 -1.996300 7.291800 -0.828371
320 -2.025300 7.316300 -0.953771
321 -1.306600 7.114400 -1.484071
322 -1.523300 7.162400 -1.370271
323 -1.288400 7.064400 -1.303371
324 -1.502100 7.118600 -1.194371
325 -0.841700 7.054500 -1.643371
326 -1.075300 7.078800 -1.573171
327 -0.832100 6.993200 -1.458871
328 -1.061200 7.022500 -1.391171
329 -0.403500 7.033800 -1.752671
330 -0.617700 7.040300 -1.700871
331 -0.402300 6.969700 -1.551071
332 -0.612900 6.976800 -1.508471
333 -0.403500 7.033800 -1.752671
334 0.000000 7.034100 -1.812871
335 -0.199300 7.032600 -1.789771
336 0.000000 6.969100 -1.608971
337 -0.199300 6.968000 -1.585771
338 -0.403500 7.033800 -1.752671
339 -0.403500 7.033800 -1.752671
340 -2.147800 7.488200 -0.358271
341 -2.219800 7.566300 -0.311471
